Data,MSCI World Equal Weighted
06/1994,10000
07/1994,9983.16330516447
08/1994,10330.234708622018
09/1994,10010.773088362426
10/1994,9977.200213140884
11/1994,9606.249231222466
12/1994,9853.869565676496
01/1995,9410.28842785887
02/1995,9484.1820977758
03/1995,9440.834279203946
04/1995,9541.455948048231
05/1995,9811.677075814901
06/1995,9695.80826404132
07/1995,10084.091804205595
08/1995,10168.47480140695
09/1995,10425.858946179667
10/1995,9960.880263303303
11/1995,10237.785187090749
12/1995,10708.817478473884
01/1996,11129.654597160634
02/1996,11361.871293882981
03/1996,11593.700242666713
04/1996,12130.233184530975
05/1996,12207.177312190835
06/1996,12074.518015187547
07/1996,11448.065304762404
08/1996,11535.620078883656
09/1996,11925.502446990899
10/1996,11989.479906477629
11/1996,12313.614172403295
12/1996,12442.934111672937
01/1997,12761.540853986106
02/1997,13482.445853738065
03/1997,13396.059296311336
04/1997,13491.597213912188
05/1997,14339.52762317879
06/1997,15011.60906685781
07/1997,15622.394706201052
08/1997,15071.240188139274
09/1997,15118.586928296212
10/1997,13930.786947269306
11/1997,13232.352972635994
12/1997,13215.563752292539
01/1998,14006.981099757084
02/1998,15294.498520754063
03/1998,15837.066883335954
04/1998,15644.958961398284
05/1998,15011.218704890713
06/1998,14765.991481472098
07/1998,14445.048809537844
08/1998,12365.92548433209
09/1998,11971.144485130793
10/1998,12870.965039639586
11/1998,13810.75675297648
12/1998,14051.682167824692
01/1999,14435.253641624533
02/1999,14601.283064328029
03/1999,15755.158053083598
04/1999,17375.31040288312
05/1999,17058.668565864198
06/1999,17922.71014547372
07/1999,17560.123994286576
08/1999,17723.620221005953
09/1999,17438.09668402562
10/1999,17890.75491863313
11/1999,18483.672642075788
12/1999,19398.15435285278
01/2000,19040.037351353352
02/2000,18854.371922168382
03/2000,20574.729187602603
04/2000,21152.19485281828
05/2000,20745.295380426014
06/2000,21179.475352283123
07/2000,21212.27470303558
08/2000,22714.62067074094
09/2000,22315.2427551362
10/2000,22743.859522421706
11/2000,21608.6331486644
12/2000,20918.721387561953
01/2001,21515.949410549485
02/2001,20795.29367773383
03/2001,20244.459512062276
04/2001,21749.789858492048
05/2001,22625.908294413697
06/2001,21848.494922049787
07/2001,20784.402150756112
08/2001,19461.97747210061
09/2001,16973.46604905707
10/2001,17726.78068593715
11/2001,19240.919898464836
12/2001,19462.296739574398
01/2002,19401.106958981374
02/2002,19433.92672215317
03/2002,20515.98325423633
04/2002,19894.10506802021
05/2002,19550.203874139424
06/2002,17360.980449797262
